image,name,price,rating,reviews
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/b3c0/48f05c62a0c1b9943a249178d4701ce731d2a4c1756c111d3c0d1b030217.jpg,"동아 오피스연필 B, 60개",12200,5,642
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/930f/4291a6c4e38271adbe8866bda35b024c645152bfd72322a8b58394eb6bf7.jpg,"포켓몬 10본 연필 세트 2B, 혼합색상, 4세트",9200,5,80
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/130d/948296ac2e52b83253a5211509b3e7e2072fef9000392d8bfa149f3824ed.png,"델리 마카롱 지우개연필 EC011, 2B, 72개",12040,5,97
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/8e00/d9e28192479ccc7661fd519399801b6ba796dfea7afc8e0aae2323b13f8f.jpg,"별별리빙샵 목공 연필 목수 납작 사각연필, 12자루",6900,None,8
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/10/10/18/2/ce47f55e-87f7-4c01-99a0-59dd3beab51a.jpg,"우옹이 카트리지 연필 B 4종 x 6p 세트, 1세트, 혼합색상",15350,4,2
https://thumbnail8.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/30/11/3/c544ec02-5d12-43a3-a0d8-e12d6c1d42c9.jpg,"아이비스 연필 캡 그립세트, 혼합색상, 5개",5800,None,26
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/29/18/5/23d8e6cb-f437-43f2-a2a9-3c92405e0db2.jpg,"문화연필 더존키즈 삼각연필 B 10종 세트, 분홍 + 주황 + 노랑 + 연두 + 파랑, 1세트",2530,None,None
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/26/16/2/c20483a8-9ab8-46aa-9648-a354168e7398.jpg,"문화연필 샤크 샤프 샤크 블랙, 0.5mm, 1개",1690,None,None
https://thumbnail8.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/26/15/0/9e3e2859-912d-49bd-81e6-bb5ee85c6284.jpg,"문화연필 더존 연필 2H, 12개",2920,None,13
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/26/15/2/9c4b4206-2a73-4a3b-93d9-58d86bb6543c.jpg,"문화연필 더존키즈 삼각연필 5종 세트 HB, 분홍 + 주황 + 노랑 + 연두 + 파랑, 1세트",1800,5,5
https://thumbnail8.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/26/18/1/6681173b-49fa-448f-b80c-1f736ff9cffa.jpg,"문화연필 더존키즈 삼각연필 HB 5종 x 2p 세트, 혼합색상, 1세트",3150,5,7
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/19/11/6/e06ff0a7-4bb9-47c2-bb43-92451992e4a1.jpg,"문화연필 캠퍼스101 볼펜 0.7mm, 빨강, 12개",2460,5,139
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/19/9/0/074c6478-fd57-406f-8520-abab75852f4d.jpg,"아이비스 노크식 삼각 홀더 펜슬, 화이트, 6개",5320,5,8
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/18/10/4/eccdd750-a37f-4ad8-96ac-46cb22197efd.jpg,"모나미 바우하우스 파스텔 삼각 연필 B 12본, 흑목, 12개입",3190,5,33
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/18/10/2/aebc52d6-a1d2-4455-8a76-66996e889cd7.jpg,"BAUHAUS 파스텔 삼각 연필 2B, 흑목, 12개",3400,5,36
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/79188713013968-9495e52a-6fb0-42f2-90ba-5629a483517b.jpg,"문화연필 더존 삼각연필 B 5개입, 혼합색상, 3세트",5400,5,16
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/59d4cd6f-8be5-4ab8-9dc5-3eaee9152dad1363046721039688419.png,"문화연필 더존 연필 4H, 혼합색상, 24개",6400,5,7
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/11/14/4/d3edd112-24c6-49e3-b540-170e9c7718d4.jpg,"모나미 바우하우스 파스텔 삼각 연필 HB 12본, 혼합색상, 1세트",3220,5,10
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/11/10/2/ea2e7509-5966-47a0-b38c-58a17082f816.jpg,"산리오캐릭터즈 8본 연필 B + 케이스 쿠로미, 퍼플, 3세트",6610,5,37
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/1835588568419739-5d943155-552d-4ace-925c-e18e585337d9.jpg,"산리오캐릭터즈 8본 연필 케이스 마이멜로디 B, 핑크, 3세트",6760,None,None
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/1845654395668000-4f2ea5d6-c5d6-44eb-9bc8-22d46c151b4c.jpg,"모나미 펭수 삼각지우개연필 B 10본입, 1개",2710,None,None
https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/f76f/8fee43655d7ae28d9e49b15012aa9c054dcb61e9681d059dbe676e06e29c.jpg,"오소사소 깎지 않는 무한 영구 연필 3개 세트(핑크+옐로우+그린)",5990,None,22
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/03/17/5/27328ac3-502c-4139-9c3b-ec5abfe366d0.jpg,"영아트 PS 파스텔 대용량 플라워연필 HB, 랜덤발송, 48개",7950,5,13
https://thumbnail8.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/03/17/5/af41f764-bf84-46b2-8794-2e8056d4292c.jpg,"영아트 PS 파스텔 대용량 하트연필 B, 랜덤발송, 48개",7420,5,5
https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/09/03/10/9/42966ede-7ecb-4b08-8dbe-c20ad86c7bda.jpg,"문화연필 더존키즈 점보 삼각연필 2B, 혼합색상, 3개",3940,5,5
https://thumbnail8.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/08/27/15/8/19dba5bc-7803-4a81-b0ab-58386c3275bc.jpg,"문화연필 더존 삼각연필 B 5종 세트, 혼합색상, 1세트",1800,5,16
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/730c/13b211b12a25295cc3e0d68503ce41629893604c0f515079f3e7fbe43301.jpg,"모닝글로리 캠퍼스메이트 연필세트 B 2B 연필, 1세트",4880,5,47
https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/736844185563943-97bce9ab-184a-416b-8713-8cd902db8fe5.jpg,"핑크망고 산리오 10본 연필 10p B, 마이멜로디, 1세트",3550,None,None
https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/740215798159559-1325d4b1-5302-41dd-9fdd-d16f43f1d090.jpg,"핑크망고 산리오 연필 10p 세트 B, 쿠로미, 1세트",3550,5,49
